title,description,text,date,language
Column: U.S. gas prices soar as Europe and Asia scramble for LNG - Reuters,U.S. gas prices have surged to the highest level in real terms since the financial crisis in 2008 as strong demand for LNG from buyers in Europe and Asia puts pressure on inventories.,"LONDON, May 6 (Reuters) - U.S. gas prices have surged to the highest level in real terms since the financial crisis in 2008 as strong demand for LNG from buyers in Europe and Asia puts pressure on in… [+2996 chars]",2022-05-06,en
‘Stardew Valley’ has sold more than 20 million copies,"Six years after its initial release, Stardew Valley
 has sold more than 20 million copies. Creator Eric Barone shared news of the accomplishment in an update posted to the game’s press site
 and an interview with PC Gamer
. ""The 20 million copies milestone…","Six years after its initial release, Stardew Valley
 has sold more than 20 million copies. Creator Eric Barone shared news of the accomplishment in an update posted to the games press site
 and an … [+1481 chars]",2022-05-14,en
"Column: Crypto warnings invoke U.S. subprime bust, 2008, and all that - Reuters.com","Regulators comparing the crypto craze to the U.S. subprime mortgage bust of the 2000s may seem like scaremongering, but the more crypto integrates with traditional investing and markets, the more prescient these warning may become.","ORLANDO, Fla., May 5 (Reuters) - Regulators comparing the crypto craze to the U.S. subprime mortgage bust of the 2000s may seem like scaremongering, but the more crypto integrates with traditional in… [+5622 chars]",2022-05-05,en
The banks collapsed in 2008 – and our food system is about to do the same | George Monbiot,"Massive food producers hold too much power – and the regulators scarcely understand what is happening. Sound familiar?For the past few years, scientists have been frantically sounding an alarm that governments refuse to hear: the global food system is beginni…","For the past few years, scientists have been frantically sounding an alarm that governments refuse to hear: the global food system is beginning to look like the global financial system in the run-up … [+6815 chars]",2022-05-19,en
Breakingviews - The elusive value of past investment mistakes - Reuters.com,"Last week, a new business and finance library opened its doors in Edinburgh’s New Town. The <a href=""https://www.libraryofmistakes.com"" target=""_blank"">Library of Mistakes</a> was named by its founder, the investment strategist Russell Napier, in the fond bel…","LONDON, May 5 (Reuters Breakingviews) - Last week, a new business and finance library opened its doors in Edinburghs New Town. The Library of Mistakes was named by its founder, the investment strateg… [+6763 chars]",2022-05-05,en
UK consumer confidence falls to lowest level since 1974,Consumers increasingly pessimistic about economy and personal finances amid deepening cost of living crisisConsumer confidence in the UK has fallen to the lowest level since records began in 1974 amid growing concern over the cost of living crisis.Stoking fea…,"Consumer confidence in the UK has fallen to the lowest level since records began in 1974 amid growing concern over the cost of living crisis.
Stoking fears that Britain is heading for a recession ca… [+3590 chars]",2022-05-19,en
"Biggest boom in City bonuses for years risks driving up inequality, says IFS","Think tank says pay and bonus deals have risen by about twice as much as other UK sectorsInequality in Britain risks being driven up by the biggest boom in City bonuses and pay since the 2008 financial crisis, the country’s leading economics thinktank has war…","Inequality in Britain risks being driven up by the biggest boom in City bonuses and pay since the 2008 financial crisis, the countrys leading economics thinktank has warned.
The Institute for Fiscal… [+2895 chars]",2022-05-03,en
Bank of England expected to raise interest rates despite faltering economy,"Economists predict a minimum 0.25 point rise as households contend with cost of living crisisThe Bank of England is poised to raise interest rates to the highest level since the recession caused by the 2008 financial crisis, despite mounting concern that the …","The Bank of England is poised to raise interest rates to the highest level since the recession caused by the 2008 financial crisis, despite mounting concern that the economy is weakening amid the cos… [+2816 chars]",2022-05-05,en
"Rogue trader, euro zone crisis and war, Socgen's CEO ends 'bumpy' ride at top - Reuters","Societe Generale <a href=""https://www.reuters.com/companies/SOGN.PA"" target=""_blank"">(SOGN.PA)</a> CEO Frederic Oudea, who navigated the French bank through a rogue trading scandal and the euro zone crisis, will leave next year, ending a tumultuous 15 years a…","FRANKFURT/LONDON, May 18 (Reuters) - Societe Generale (SOGN.PA) CEO Frederic Oudea, who navigated the French bank through a rogue trading scandal and the euro zone crisis, will leave next year, endin… [+4490 chars]",2022-05-18,en
Globalisation of food production has left millions hungry | Letters,Edward Davey says heads of state need to act with urgency to address the global food crisis. Plus letters from Benny Dembitzer and Brian FishGeorge Monbiot’s piece on the fragility of the global food system and the hunger crisis was powerful and timely (The b…,"George Monbiots piece on the fragility of the global food system and the hunger crisis was powerful and timely (The banks collapsed in 2008 and our food system is about to do the same, 19 May). The w… [+3180 chars]",2022-05-23,en
"London trader made error in 'flash crash', Citigroup says",The benchmark Stockholm OMX 30 share index fell by 8% at one point on Monday morning.,"Image source, Getty Images
US banking giant Citigroup has said that one of its traders made an error in the so-called stock market ""flash crash"" in Europe on Monday.
A flash crash is an extremely f… [+2255 chars]",2022-05-03,en
UK consumer morale hits lowest since records began in 1974: GfK - Reuters,"Pessimism weighing on Britain's households has hit unprecedented levels as the cost-of-living crisis pushed confidence in the economic outlook to its joint lowest, a survey showed.","LONDON, May 20 (Reuters) - Pessimism weighing on Britain's households has hit unprecedented levels as the cost-of-living crisis pushed confidence in the economic outlook to its joint lowest, a survey… [+2282 chars]",2022-05-19,en
The Fed Can’t Fix Our Broken Banking System,"On May 4, 2022, the Federal Reserve announced a plan to reduce the size of its balance sheet. $9 trillion large, and ten times bigger than it was before the 2008 financial crisis, the Fed’s accumulation of assets has helped to lower borrowing costs across the…","On May 4, 2022, the Federal Reserve announced a plan to reduce the size of its balance sheet. $9 trillion large, and ten times bigger than it was before the 2008 financial crisis, the Fed’s accumulat… [+6857 chars]",2022-05-04,en
"Italy appeals court acquits all defendants, Deutsche Bank, Nomura in derivatives case - Reuters","An Italian appeals court on Friday acquitted all 13 defendants, as well as Deutsche Bank and Nomura, over derivative deals that prosecutors say helped Monte dei Paschi di Siena <a href=""https://www.reuters.com/companies/BMPS.MI"" target=""_blank"">(BMPS.MI)</a> …","MILAN, May 6 (Reuters) - An Italian appeals court on Friday acquitted all 13 defendants, as well as Deutsche Bank and Nomura, over derivative deals that prosecutors say helped Monte dei Paschi di Sie… [+1887 chars]",2022-05-06,en
Analysis: Traders ready for wilder swings as rate rises stoke volatility - Reuters,"Traders in the world's largest markets are having to navigate wild intra-day swings and shrinking deal sizes as central banks rapidly withdraw stimulus measures, in a small-scale reminder of a pandemic-driven financial seize-up just two years ago.","LONDON/NEW YORK, May 13 (Reuters) - Traders in the world's largest markets are having to navigate wild intra-day swings and shrinking deal sizes as central banks rapidly withdraw stimulus measures, i… [+4785 chars]",2022-05-13,en
Breakingviews - How to stop margin calls from blowing up markets - Reuters,"Margin makes the financial system safer, but margin calls can be problematic. That’s the paradox regulators, traders and clearing houses are grappling with in the wake of the March 2020 panic and recent volatility in energy prices. The fix is to boost margin …","LONDON, May 23 (Reuters Breakingviews) - Margin makes the financial system safer, but margin calls can be problematic. Thats the paradox regulators, traders and clearing houses are grappling with in … [+7205 chars]",2022-05-23,en
Fed nominee Barr says he's committed to bringing down inflation - Reuters,"U.S. Federal Reserve nominee Michael Barr, nominated by Democratic President Joe Biden to be the central bank's Wall Street cop, said on Wednesday that he is committed to bringing inflation back down to 2%.","May 18 (Reuters) - U.S. Federal Reserve nominee Michael Barr, nominated by Democratic President Joe Biden to be the central bank's Wall Street cop, said on Wednesday that he is committed to bringing … [+1700 chars]",2022-05-18,en
"Bitcoin, cryptocurrency shed $200 billion in one day - Financial Post","<ol><li>Bitcoin, cryptocurrency shed $200 billion in one day  Financial Post
</li><li>$1 Trillion Crypto Meltdown—Huge Crash Wipes Out The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano, Solana, Terra’s Luna And Avalanche  Forbes
</li><li>Crypto market’s cra…","Contagion spreading to stock markets as investors see one more thing to worry about 
A massive sell-off has spread like wildfire through the world of cryptocurrencies.Photo by REUTERS/Dado Ruvic/Fil… [+7621 chars]",2022-05-12,en
How uncompetitive markets are driving up the cost of living | Andrea Coscelli,"Competition is weaker than ever. Without pressure to keep prices down and quality high, all of us will suffer<ul><li>Andrea Coscelli is chief executive of the Competition and Markets Authority</li></ul>At a time when household budgets are already being squeez…","At a time when household budgets are already being squeezed, it is more important than ever that companies feel the heat of competition to force them to keep prices down. But across too much of our e… [+2683 chars]",2022-04-29,en
Twitter deal leaves Elon Musk with no easy way out,Strength of $44B agreement comes into focus as Musk appears to have second thoughts.,"18 with 17 posters participating
Since the financial crisis, corporate lawyers have aspired to build the ultimate ironclad merger contract that keeps buyers with cold feet from backing out.
The bul… [+2544 chars]",2022-05-19,en
Quelles sont les causes de l'inflation actuelle?,"Revenue par surprise après une dizaine d'années d'accalmie, l'inflation est bien partie pour rester. Ce que tout le monde était loin d'avoir prévu. Lire la suite","Temps de lecture: 8 min
Depuis une dizaine d'années, l'inflation était basse, en dessous des objectifs que s'étaient fixés la plupart des banques centrales des pays développés. Elles ont tout essayé… [+12387 chars]",2022-05-09,fr
Covid-19 : la petite histoire de la grande pandémie,La pandémie est-elle déjà tombée dans les oubliettes de l'Histoire. L'historien Adam Tooze nous refait le film dans cet essai très documenté.,"Professeur à l'université de Columbia à New York, Adam Tooze est un spécialiste reconnu d'histoire contemporaine. Il s'est fait connaître du grand public par Crashed, best-seller sur la crise financi… [+2776 chars]",2022-05-21,fr
Des milliers de manifestants à Athènes contre la hausse du coût de la vie,"ATHENES (Reuters) - Quelque 10.000 personnes, selon la police, ont défilé dimanche à Athènes, à l'occasion du 1er-Mai, pour protester contre la hausse des prix de l'énergie et de l'alimentation.
La pandémie de coronavirus a porté un coup d'arrêt sévère au rét…","ATHENES (Reuters) - Quelque 10.000 personnes, selon la police, ont défilé dimanche à Athènes, à l'occasion du 1er-Mai, pour protester contre la hausse des prix de l'énergie et de l'alimentation.
La … [+1264 chars]",2022-05-02,fr
"Contre l’inflation, astuces, trucs et troc en stock","Contraints de s’adapter à la flambée des prix, les consommateurs disposent d’outils variés pour tenter de préserver leur budget.","Ressourceries, comparateurs de prix, emprunt dobjets, groupement dachat Les outils pour consommer sans (trop) se ruiner ne manquent pas. Face à la hausse des prix, voici quelques pistes pour consomme… [+7064 chars]",2022-05-13,fr
La Berd aggrave sa prévision de contraction pour l'Ukraine et toute sa zone,"Londres - La Banque européenne pour la reconstruction et le développement (Berd), qui tient cette semaine son assemblée générale annuelle, a fortement aggravé ses prévisions de contraction économique pour l'Ukraine au regard de l'invasion russe qui se prolong…","Elle table désormais sur une contraction brutale de 30% de l'économie ukrainienne cette année au lieu de 20% attendus en mars, au tout début de l'offensive russe. 
L'organisation internationale anti… [+4035 chars]",2022-05-10,fr
"La Commission suspend les critères de Maastricht un an de plus, jusqu’à la fin 2023","Alors que l’Allemagne et l’Europe du nord restent attachés à l’orthodoxie budgétaire, l’exécutif communautaire recommande aux pays européens les plus endettés de commencer à réduire leur dette. Elle conseille notamment à la France de réformer son système des …","Le commissaire à léconomie Paolo Gentiloni (à gauche) et le vice-président de la Commission européenne Valdis Dombrovskis, à Bruxelles (Belgique), le 23 mais 2022. OLIVIER MATTHYS / AP
Reviendra-t-o… [+3201 chars]",2022-05-23,fr
