+----------------------+------+--------+-------+--------------------------------------------------+
|      series id       | year | period | value |                    footnotes                     |
+----------------------+------+--------+-------+--------------------------------------------------+
| LAUCN281070000000003 | 2021 |  M12   |  4.5  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M11   |  4.6  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M10   |  5.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M09   |  5.9  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M08   |  7.0  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M07   |  7.8  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M06   |  8.8  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M05   |  7.8  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M04   |  7.5  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M03   |  8.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M02   |  8.6  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2021 |  M01   |  8.9  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M12   |  8.2  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M11   |  8.1  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M10   |  8.2  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M09   |  9.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M08   |  9.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M07   |  12.2 | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M06   |  12.4 | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M05   |  12.1 | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M04   |  15.0 | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M03   |  7.9  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M02   |  6.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2020 |  M01   |  6.3  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M12   |  5.8  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M11   |  6.0  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M10   |  5.9  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M09   |  6.2  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M08   |  7.1  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M07   |  8.1  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M06   |  8.1  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M05   |  6.4  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M04   |  6.0  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M03   |  6.5  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M02   |  6.4  | Data were subject to revision on April 15, 2022. |
| LAUCN281070000000003 | 2019 |  M01   |  6.7  | Data were subject to revision on April 15, 2022. |
+----------------------+------+--------+-------+--------------------------------------------------+
